available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands
5,20:26:01,00055 - ST SERNIN G. ARNOULT,43.608951960496405,1.441003598726198,10,15
0,20:27:43,00195 - LARROUSSE -RIEUX,43.59723540303583,1.45907112459247,18,18
5,20:27:47,00229 - IUT RANGUEIL,43.571433064051334,1.46278065695466,13,18
0,20:20:36,00065 - VERDIER - GRAND ROND,43.597074846780274,1.452605307400692,26,27
5,20:23:32,00022 - CARNOT ROLAND,43.60221990815785,1.45195665819857,15,20
15,20:26:47,00236 - TOEC / LEMIRE,43.59729443895585,1.403872948950036,4,20
3,20:29:10,00111 - MINIMES PASSERELLE,43.615259799224134,1.442921175845342,24,27
17,20:28:13,00243 - ETATS-UNIS / FERRY,43.632641237523,1.43180804154469,0,17
14,20:30:03,00174 - MAUNOURY / MELA,43.63692179179762,1.452693250180783,5,19
13,20:26:36,00137 - BRUNHES-FONTAINES,43.60094924792523,1.420275802412521,7,20
14,20:24:37,00144 - SUISSE - LAUSANE,43.61606217398145,1.421715694303944,6,20
16,20:29:29,00040 - COLOMBETTE,43.604660136134775,1.453588691746783,0,16
7,20:27:50,00003 - POMME,43.60333593826575,1.445569311598848,11,18
8,20:28:56,00139 - BARRIERE DE LOMBEZ,43.5955673906372,1.418420510391943,16,25
14,20:24:10,00093 - PRINTEMPS,43.614465544425535,1.44361404386217,3,17
33,20:22:39,00081 - JARDIN RAYMOND VI,43.59989498759688,1.429556601823956,0,33
9,20:30:08,00248 - BOUQUETINS/E. ROSTAND,43.64108958806659,1.449039275575635,11,20
2,20:28:51,00053 - PLACE SAINT JULIEN,43.60863633636605,1.437631489341106,23,25
25,20:26:11,00087 - LASCROSSES LECLERC,43.609500004240715,1.432335729928681,0,25
0,20:29:21,00121 - SERRES - A. BERNARD,43.612327522628846,1.438340345212284,17,17
1,20:27:27,00239 - LESPINET / HERBETTES,43.577166917623245,1.469393836823441,19,20
0,20:30:21,00001 - POIDS DE L'HUILE,43.604134687021045,1.445420780739279,19,19
10,20:30:31,00007 - PLACE VICTOR HUGO,43.605852162177925,1.446593812218414,15,25
16,20:22:59,00259 - PLACE RICHE,43.64751,1.43298,4,20
10,20:30:30,00234 - LOIN / RAYNAL,43.628236592839514,1.451330504561275,4,15
7,20:24:04,00192 - RTE DE ST SIMON/PRADO,43.587659413053814,1.409162125552512,11,20
6,20:27:02,00048 - PLACE DU SALIN,43.59474911973265,1.444132711268797,16,22
7,20:25:14,00175 - METRO MAUNOURY,43.6394555737186,1.45256734914219,23,30
16,20:21:18,00166 - RANGUEIL GUYOU,43.574366149048714,1.462031097914686,4,20
10,20:25:11,00135 - BONNEFOY   LEMAITRE,43.62316326019301,1.458585739964361,8,18
1,20:25:10,00115 - DEMOISELLES MISTRAL,43.590622011025665,1.453805825078145,17,18
1,20:30:16,00067 - MUSEUM,43.59468,1.44938,20,22
10,20:30:32,00188 - MURET/LAFAGE,43.584282965328995,1.427517107421507,8,18
3,20:21:19,00178 - BRUNAUD / PLANA,43.619281402937425,1.468753766918999,17,20
0,20:29:33,00041 - ST AUBIN CAMICHEL,43.60265364232074,1.454436078796189,21,21
9,20:28:35,00090 - LASCROSSES- A. BERNARD,43.61146971436288,1.437871385550754,16,25
9,20:29:33,00109 - METRO CANAL DU MIDI,43.615173611788045,1.434707777421923,16,25
0,20:26:39,00197 - CASERNE PERIGNON,43.60038605818475,1.464093716152017,20,20
11,20:20:57,00023 - COMBATTANTS,43.60128593726337,1.452057713684133,15,26
7,20:21:22,00273 - PASSERIEU - ST SIMON,43.5792,1.39262,10,18
3,20:29:46,00029 - VALADE,43.605071904633625,1.437032051956223,16,19
8,20:22:39,280 - CHARBONNIERE,43.57383,1.44871,10,18
2,20:22:27,00156 - METRO EMPALOT,43.579737115748195,1.441783289134449,16,19
8,20:30:22,00242 -  RAIMBAUD / COLETTE,43.633866178151905,1.437493796200118,8,16
0,20:24:16,00224 - CAMPUS SUPAERO,43.566595761363736,1.474881961695726,20,20
7,20:25:45,00154 - GALLOIS,43.58995890864312,1.4420311550308,13,20
9,20:30:30,00096 - MEDIATHEQUE,43.60974282737991,1.455204795385279,16,25
5,20:28:17,00152 - MAZADES,43.624183134252704,1.438302180907754,15,20
6,20:28:05,00276 - MARIN REBOUL,43.58132,1.37975,12,18
13,20:30:29,00077 - PLACE INT SAINT CYPRIEN,43.597835830061406,1.431605284631358,0,13
4,20:22:14,00025 - PLACE ROUAIX,43.599435045967155,1.445580732388259,14,18
7,20:29:11,00074 - LAGANNE TEINTURIERS,43.596660562935625,1.436175197009508,11,18
20,20:21:56,00071 - COURS DILLON,43.59318934283672,1.434894328349442,2,22
18,20:25:18,00105 - BILLIERE -CHAMPETRE,43.59764204883991,1.428862699237109,1,19
16,20:29:03,00064 - PERI MERCADIER,43.60617263070887,1.454987798766018,8,24
14,20:26:04,00060 - ROQUELAINE,43.61263652233987,1.448541598385468,10,24
5,20:30:09,00036 - PLACE SCHUMAN,43.609623167283914,1.449367822982907,19,24
1,20:25:36,00227 - METRO UPS,43.56160969546884,1.462869145576551,19,20
12,20:29:58,00187 - DESBALS MONTDORE,43.584523123495174,1.415543960373121,5,17
2,20:21:51,00225 - BELIN ONERA,43.56947707206279,1.473268554354084,18,20
1,20:30:08,00084 - BRIENNE MANUFACTURE,43.60524239596951,1.432687682718845,23,24
2,20:26:59,00208 - LIMAYRAC/ DARASSE,43.59122002356995,1.480087483756261,16,18
5,20:25:44,00131 - BERNIES,43.61174111564092,1.414597471267562,14,19
4,20:21:17,00037 - STE LUCIE,43.593506929037055,1.429880706043356,14,18
19,20:23:05,00266 - TOURAINE,43.57375,1.41398,1,20
13,20:21:11,00079 - PLACE LANGE,43.60112880561738,1.434138106708093,6,19
4,20:29:51,00210 - TERRASSE/ CENTRE CO.,43.586074956653995,1.483021040946601,14,18
17,20:26:50,00075 - CHATEAU D EAU,43.598542607102175,1.436590757220506,4,21
13,20:29:20,00221 - VAUQUELIN,43.57641895477528,1.406488768851485,7,20
19,20:27:21,00128 - PRISON ST MICHEL,43.58589564207925,1.447411881616044,4,23
9,20:28:35,00118 - PLACE DU BUSCA,43.58817925392077,1.450764528471522,8,17
4,20:30:27,00068 - METRO - PALAIS DE JUSTICE,43.59265,1.44455,12,16
18,20:29:15,00147 - CHAUSSAS - DAUDET,43.61990748467363,1.428966282419491,2,20
16,20:25:25,00153 - BOURGES MAUNOURY,43.628469420497346,1.447936286895422,2,18
8,20:25:31,00262 - ROND POINT CHEMIN DE BORDEROUGE,43.64265,1.45632,10,18
3,20:29:43,00233 - NARBONNE /SAHUQUE,43.56641276350635,1.458852500499583,17,20
10,20:23:27,00021 - CARNOT LABEDA,43.60411143798555,1.450245130369442,15,25
7,20:27:37,00062 - JAURES STALINGRAD,43.609044644058145,1.45336004007864,14,22
14,20:30:03,00244 - RENAN / VITRY,43.635706776069696,1.443751822397876,2,18
6,20:30:19,00245 - GRANDE BRETAGNE / BADIOU,43.59990824072129,1.41518438915584,14,20
13,20:25:12,00260 - DUCLOS - FRONTON,43.64495,1.43379,5,18
6,20:30:31,00228 - METRO PHARMACIE,43.567716505871594,1.464456852027628,11,18
8,20:29:32,00235 - PAUL VERLAINE,43.6333722270955,1.43538536091475,11,19
13,20:22:04,00150 - CURIE CAMPISTRON,43.62593095954932,1.439870900566373,5,18
6,20:29:22,00271 - ANCELY,43.61948,1.39711,14,20
10,20:22:30,00033 - BERALDI,43.608568713084686,1.443570238387108,4,15
9,20:25:34,00172 - NETWILLER / LAFORGUE,43.642833569777416,1.461191671613412,11,20
15,20:30:11,00120 - PONTS JUMEAUX,43.61035351524297,1.420545407442975,3,18
9,20:20:38,00217 - AMOUROUX/ ST TROPEZ,43.629671600633195,1.466442513411802,9,18
14,20:22:45,00173 - MAUNOURY / SEGELA,43.6331828272491,1.450535969934731,5,19
12,20:23:55,00143 - DESBALS SAINTONGE,43.5813322052426,1.413431676051568,7,20
11,20:26:52,00106 - BRIENNE PASSERELLE,43.60842211156853,1.42386687477895,10,21
1,20:29:42,00123 - CHAUSSAS EMBOUCHURE,43.61492465117555,1.43288072066524,21,23
5,20:26:06,00006 - LOIS,43.605203861405954,1.442101445768934,15,20
12,20:26:55,00257 - CHATEAU DE L'HERS,43.60086,1.48346,4,16
12,20:29:01,00097 - RAYMOND IV,43.61243588156053,1.451476646620887,9,21
10,20:22:33,00191 - RUE DU 14 JUILLET,43.58998499389323,1.415183785619737,8,18
17,20:29:47,00019 - CARNOT PERI,43.60557592007205,1.449072022617868,7,25
5,20:25:32,00212 - CHAUMIERE/ CRETES,43.615227374108336,1.465376125032407,12,17
4,20:20:43,00179 - CASSAING PLANA,43.61680265241856,1.473505161008297,13,17
6,20:21:20,00204 - PL. ROGER ARNAUD,43.58677914294868,1.463164045792265,12,18
19,20:25:32,00134 - EGLISE BONNEFOY,43.61894094381528,1.456658754907086,0,19
10,20:30:09,00112 - PLACE RUSSEL - BRANLY,43.585266840172814,1.452936514925397,10,20
8,20:25:54,00241 - ESPAGNE CHARPENTIER,43.574576545136445,1.424432564672875,12,20
1,20:26:51,00183 - RUE DE CUGNAUX,43.5931301810241,1.42463077628583,17,18
12,20:26:36,00126 - ECOLE BONNEFOY,43.61689063107848,1.454339701099757,9,22
5,20:29:23,00255 - HENRI SELLIER,43.57705,1.44009,10,16
8,20:27:34,00254 - RONSARD,43.5837,1.40644,10,18
10,20:28:50,00024 - PLACE SAINT ETIENNE,43.600398667412286,1.450179100392055,12,22
2,20:30:25,00196 - GOUJON - GUILHEMERY,43.6017932127447,1.458048662941769,18,20
3,20:24:19,281 - NIEL,43.57886,1.44649,15,18
14,20:25:15,00124 - EGLISE DES MINIMES,43.61814891164924,1.436875386155235,4,18
0,20:26:31,00207 - CHRIST ROI,43.58300698375498,1.481508972569192,17,17
1,20:29:16,00011 - PLACE DE LA DAURADE,43.60215,1.44026,22,23
6,20:24:00,00186 - DESBALS BOUALAM,43.5792182218804,1.41112908179427,12,18
5,20:30:15,00252 - NEGRENEYS /CASENEUVE,43.62687,1.44404,13,18
9,20:28:58,00184 - MICHOUN,43.62727712277727,1.469362217455508,11,20
4,20:30:13,00161 - RANGUEIL - BEDOUCE,43.57644751100008,1.454915112024358,11,15
2,20:28:36,00268 - PLACE BAYLAC,43.60868,1.3972,20,22
8,20:29:50,00082 - SEJOURNE CATALANS,43.605562378447424,1.427969819484834,13,21
14,20:30:26,00070 - FER A CHEVAL,43.59253,1.43421,4,18
18,20:28:36,00141 - FONTAINE LESTANG,43.587583195522946,1.418128481713567,0,18
1,20:29:20,00108 - SEBASTOPOL - RITAY,43.612283701347906,1.428790629053277,19,20
6,20:23:57,00085 - MARECHAL LECLERC,43.606708008560005,1.430598716260075,16,22
3,20:26:32,00202 - ST EX. - COURREGE,43.58166894906154,1.476002176599847,14,17
0,20:23:53,00102 -  MISTRAL - FLEURANCE,43.593599912488976,1.453042492588597,19,19
1,20:29:38,00030 - PLACE ANATOLE FRANCE,43.60629527233212,1.438224999266949,24,25
10,20:27:32,00170 - ROUTE D ALBI   / CUVIER,43.635666512128225,1.464148138450798,7,17
7,20:20:31,00274 - GALLIENI,43.574,1.41954,11,18
0,20:24:59,00213 - PUJOL/ CHAUBET,43.60075517705335,1.467514131065815,17,17
5,20:29:11,00049 - COUTELIER - METZ,43.599589544431005,1.441434965295236,11,16
7,20:22:19,00052 - DUPORTAL CITE ADMIN.,43.60864745421513,1.434650096062823,14,21
2,20:27:26,00104 - MURET BARTHERE,43.58903,1.43104,16,18
0,20:22:18,00013 - LOIS ESQUILE,43.60621318190248,1.441331077590377,15,15
5,20:26:32,00129 - CROIX DE PIERRE,43.58588,1.4278,11,16
4,20:23:15,00158 - URSS ST THOMAS D AQUIN,43.580795461338795,1.449135738584587,16,20
4,20:28:48,00168 - BILA   /  ROUTE D ALBI,43.626509813353074,1.458930207887618,16,20
15,20:29:51,00249 - CROIX DAURADE,43.63812899582609,1.46521198710394,4,19
9,20:23:54,00015 - PONT MONTAUDRAN,43.59642,1.4565,11,20
